Date,Open,High,Low,Close,Volume
2010-01-01,101.45741618964527,102.65473315803935,101.14537890876039,100.76940523031767,624510
2010-01-02,99.83306692801649,101.56541921956637,98.63083690453007,100.24921208360858,3599281
2010-01-03,99.1416008662244,99.50840988593126,98.53311638030532,99.19111372948888,752154
2010-01-04,100.72696105626636,101.30941933666244,99.5032552668216,100.00594877757044,351520
2010-01-05,98.95916283637378,100.52951475915981,98.55981527205707,98.987631713201,2514497
2010-01-06,96.4072446029932,96.5001454284332,95.19215489919033,95.74829285036779,233524
2010-01-07,95.38960413845584,96.26990912593504,95.14552766876628,95.37995795867838,3995299
2010-01-08,93.5065276280754,95.32516843223297,92.98896766487537,93.83157219678337,1905634
2010-01-09,94.94889833454104,95.31860724559209,93.00972907901192,95.49916398126327,2187995
2010-01-10,91.81513541122331,93.6047901120786,90.61933545360114,92.65888388126955,4061678
2010-01-11,90.48219554269741,91.0248936062452,88.82472052439356,90.1957021960846,2358368
2010-01-12,89.66450259151463,90.74989475783113,89.38265414156511,90.26889655302271,671206
2010-01-13,87.75983380577516,89.39075666268482,86.34611911807993,88.21784814185713,2401163
2010-01-14,90.51468284258158,90.66277214604976,89.79775138549303,89.74642096163184,4317993
2010-01-15,90.29646506172212,90.42358176229416,89.67450041829079,89.94683170577561,3290853
2010-01-16,93.04497162293767,94.3200865656481,91.27054613778502,92.98940147326157,635635
2010-01-17,93.8306014135906,94.95315580872959,92.28866705368148,93.81819260631939,3791682
2010-01-18,92.06425746591054,92.91933950262764,92.01341921242235,91.28004031989715,4815471
2010-01-19,91.82159790577555,92.83873928810495,90.00646495792336,91.3201823640733,3926720
2010-01-20,91.41563708876242,92.92673936584852,90.95804075777917,90.56959690842001,3252827
2010-01-21,90.83727934158995,92.45352010071878,89.5704718285691,91.58020052196538,3053182
2010-01-22,89.58171410353394,89.95485422130601,87.79659610655399,89.66039858736524,1890540
2010-01-23,87.02613408706489,87.88034966431741,85.3901045552199,87.74759525357757,654799
2010-01-24,85.92884372984786,86.95033833500298,85.0940217235503,85.37305935078932,3174711
2010-01-25,87.11532984355698,87.76173570759849,86.07774860007025,87.52136776134734,518098
2010-01-26,84.35221510204728,86.29577926748921,82.42732051216306,83.85577969369801,3203370
2010-01-27,80.35709445544556,80.43086835015463,79.13796578748577,80.36245250190329,478095
2010-01-28,79.83734321829216,80.39463614676538,78.02081144635885,79.3164669996261,3643093
2010-01-29,81.63626308460289,82.1203736276259,80.29199198979113,82.15950231526033,1368635
2010-01-30,77.80288118912743,79.25931388635115,77.06731492368893,78.0674928503146,282239
2010-01-31,78.681899828852,80.35250482003048,78.04033969890853,78.05493684965171,2411104
2010-02-01,82.96378182347266,84.14556770984915,81.6086530997881,81.99695748132837,3027056
2010-02-02,81.07125025904976,81.41998311705974,79.68937478284484,80.84472095165084,4080565
2010-02-03,81.7914906053164,82.06653249360838,81.10935790321588,81.01843764779757,4274909
2010-02-04,83.1795094629847,84.28991108618362,82.12020830627269,82.6632140447856,3201128
